content	val
 Christmas Celebration in India	1
 Twelve Days of Christmas Celebration	2
 People start the celebration on the Christmas Eve i	3
 The first day of the Twelvetide is the Christmas Day, the birth of Jesus Christ	4
 Christmas in India is celebrated with great zeal and enthusiasm	5
 Christmas is celebrated for twelve days which is also known as Twelvetide	6
 Simeon	7
 Basil	8
 Christmas in Goa is one of the most vibrant celebrations in India	9
 There is a tradition of decorating Christmas tree on the occasion as a symbol of Christ	10
